kind,id,file,heading,source_id,source_label,auteur,titre,annee,records,atoms,quotes,chronology,files
source,S45,exports/generated/sources.json,,S45,"S45 — Curtis, Touching from a Distance, 1995",Deborah Curtis,Touching from a Distance: Ian Curtis and Joy Division,1995,356,205,56,41,"[""registers/chronology/master_chronology.md"", ""registers/chronology/s45_curtis_chronology_1976_1977.md"", ""registers/chronology/s45_curtis_chronology_1977_1978_an_ideal_rca.md"", ""registers/chronology/s45_curtis_chronology_1978_1979_factory_epilepsy_lyrics_natalie.md"", ""registers/chronology/s45_curtis_chronology_1978_wilson_gretton_band_on_the_wall.md"", ""registers/people/master_people.md"", ""registers/people/s45_curtis_people_1976_1977.md"", ""registers/people/s45_curtis_people_1977_1978_an_ideal_rca.md"", ""registers/people/s45_curtis_people_1978_1979_factory_epilepsy_lyrics_natalie.md"", ""registers/people/s45_curtis_people_1978_wilson_gretton_band_on_the_wall.md"", ""registers/people/s45_curtis_people_vote_conservateur.md"", ""registers/people/s76_torn_apart_people_part_02.md"", ""registers/quotes/s45_curtis_quotes_1976_1977.md"", ""registers/quotes/s45_curtis_quotes_1977_1978_an_ideal_rca.md"", ""registers/quotes/s45_curtis_quotes_1978_1979_factory_epilepsy_lyrics_natalie.md"", ""registers/quotes/s45_curtis_quotes_1978_wilson_gretton_band_on_the_wall.md"", ""registers/quotes/s45_curtis_quotes_vote_conservateur.md"", ""registers/songs/master_songs.md"", ""registers/songs/s45_curtis_songs_1976_1977.md"", ""registers/songs/s45_curtis_songs_1977_1978_an_ideal_rca.md"", ""registers/songs/s45_curtis_songs_1978_1979_factory_epilepsy_lyrics_natalie.md"", ""registers/songs/s45_curtis_songs_1978_wilson_gretton_band_on_the_wall.md"", ""registers/songs/s45_curtis_songs_1979_annik_apollo_rainbow_marriage_collapse.md"", ""registers/songs/s45_curtis_songs_1980_european_tour_annik_closer_threshold.md"", ""registers/songs/s45_curtis_songs_1980_moonlight_overdose_bury_divorce_last_clinic.md"", ""sources/curtis_touching_from_a_distance/source_part_1976_1977_formation.md"", ""sources/curtis_touching_from_a_distance/source_part_1977_1978_an_ideal_rca.md"", ""sources/curtis_touching_from_a_distance/source_part_1978_1979_factory_epilepsy_lyrics_natalie.md"", ""sources/curtis_touching_from_a_distance/source_part_1978_wilson_gretton_band_on_the_wall.md"", ""sources/curtis_touching_from_a_distance/source_part_1979_annik_apollo_rainbow_marriage_collapse.md"", ""sources/curtis_touching_from_a_distance/source_part_1979_buzzcocks_tour_futurama_mountford.md"", ""sources/curtis_touching_from_a_distance/source_part_1979_factory_unknown_pleasures_wives_nazism.md"", ""sources/curtis_touching_from_a_distance/source_part_1980_european_tour_annik_closer_threshold.md"", ""sources/curtis_touching_from_a_distance/source_part_1980_moonlight_overdose_bury_divorce_last_clinic.md"", ""sources/curtis_touching_from_a_distance/source_part_vote_conservateur.md"", ""sources/deborah_curtis/atomisation_01_enfance_mariage_warsaw.md"", ""sources/deborah_curtis/atomisation_02_unknown_pleasures_domesticite_maladie.md"", ""sources/deborah_curtis/atomisation_03_closer_derniers_mois_memoire.md"", ""sources/deborah_curtis/citations_exactes.md""]"
source,S46,exports/generated/sources.json,,S46,"S46 — Johnson, An Ideal for Living, 1984",Mark Johnson ; David Lees ; Paul Morley ; Jon Wozencroft,An Ideal for Living: An History of Joy Division,1984,212,190,5,16,"[""sources/johnson_morley_an_ideal_for_living/source.md"", ""sources/johnson_morley_an_ideal_for_living/source_suite_02.md"", ""sources/johnson_morley_an_ideal_for_living/source_suite_03.md"", ""sources/johnson_morley_an_ideal_for_living/source_suite_04.md"", ""sources/johnson_morley_an_ideal_for_living/source_suite_05.md"", ""sources/johnson_morley_an_ideal_for_living/source_suite_06.md""]"
source,S47,exports/generated/sources.json,,S47,"S47 — West, Joy Division, 1984",Mike West,Joy Division,1984,235,200,15,20,"[""sources/mike_west_joy_division/chronology.md"", ""sources/mike_west_joy_division/quotes.md"", ""sources/mike_west_joy_division/source_atomisation_01.md"", ""sources/mike_west_joy_division/source_atomisation_02.md"", ""sources/mike_west_joy_division/source_atomisation_03.md"", ""sources/mike_west_joy_division/source_atomisation_04.md""]"
source,S68,exports/generated/sources.json,,S68,"S68 — Broll, Joy Division, 1988",Marco Broll,Joy Division,1988,83,39,3,40,"[""registers/chronology/s76_torn_apart_chronology_part_03.md"", ""sources/marco_broll/README.md"", ""sources/marco_broll/citations_exactes.md"", ""sources/marco_broll/source.md""]"
source,S69,exports/generated/sources.json,,S69,"S69 — Greig & Strong, But We Remember When We Were Young, 2014",Alastair Greig ; Catherine Strong,But We Remember When We Were Young,2014,62,36,6,12,"[""registers/chronology/s69_greig_strong_chronology_nostalgie_memoire_v2.md"", ""registers/concepts/s69_greig_strong_concepts_nostalgie_memoire_v2.md"", ""registers/motifs/s69_greig_strong_motifs_nostalgie_memoire_v2.md"", ""registers/myths/s69_greig_strong_mythes_nostalgie_memoire_v2.md"", ""registers/people/s69_greig_strong_people_nostalgie_memoire_v2.md"", ""registers/references/s69_greig_strong_relations_rag_nostalgie_memoire_v2.md"", ""registers/songs/s69_greig_strong_songs_nostalgie_memoire_v2.md"", ""sources/greig_strong/README.md"", ""sources/greig_strong/citations_exactes.md"", ""sources/greig_strong/source.md"", ""sources/greig_strong/source_part_nostalgie_memoire_v2.md""]"
source,S70,exports/generated/sources.json,,S70,"S70 — Suatoni, Dal cuore della città / From the Centre of the City, 1990",Alfredo Suatoni,Joy Division: Dal cuore della città / From the Centre of the City,1990,74,40,11,21,"[""sources/suatoni/README.md"", ""sources/suatoni/citations_exactes.md"", ""sources/suatoni/source.md""]"
source,S71,exports/generated/sources.json,,S71,"S71 — Flowers, Dreams Never End, 1995/2012",Claude Flowers,New Order + Joy Division: Dreams Never End,1995/2012,136,75,20,39,"[""sources/flowers/README.md"", ""sources/flowers/citations_exactes.md"", ""sources/flowers/second_pass_new_order_late_discography.md"", ""sources/flowers/source.md""]"
source,S72,exports/generated/sources.json,,S72,"S72 — Reynolds, Rip It Up and Start Again, 2005/2006",Simon Reynolds,Rip It Up and Start Again: Postpunk 1978–1984,2005/2006,87,61,11,13,"[""sources/reynolds_rip_it_up/README.md"", ""sources/reynolds_rip_it_up/citations_exactes.md"", ""sources/reynolds_rip_it_up/second_pass_scenes_heritage.md"", ""sources/reynolds_rip_it_up/source.md""]"
source,S74,exports/generated/sources.json,,S74,"S74 — Middles, From Joy Division to New Order, 1996",Mick Middles,From Joy Division to New Order,1996,61,61,0,0,"[""sources/books/S074_Middles_FromJoyDivisionToNewOrder_1996.md"", ""sources/books/S074_Middles_FromJoyDivisionToNewOrder_1996_part3.md"", ""sources/books/S074_Middles_FromJoyDivisionToNewOrder_1996_part4.md"", ""sources/books/S074_Middles_FromJoyDivisionToNewOrder_1996_part5.md"", ""sources/books/S074_Middles_FromJoyDivisionToNewOrder_1996_part6.md""]"
source,S75,exports/generated/sources.json,,S75,"S75 — Ott, Joy Division's Unknown Pleasures, 2004",Chris Ott,Joy Division's Unknown Pleasures,2004,188,75,21,31,"[""registers/chronology/s75_ott_chronology.md"", ""registers/chronology/s75_ott_chronology_part_03.md"", ""registers/chronology/s75_ott_chronology_part_04.md"", ""registers/people/s75_ott_people.md"", ""registers/people/s75_ott_people_part_02.md"", ""registers/people/s75_ott_people_part_03.md"", ""registers/people/s75_ott_people_part_04.md"", ""registers/quotes/s75_ott_quotes.md"", ""registers/quotes/s75_ott_quotes_part_03.md"", ""registers/quotes/s75_ott_quotes_part_04.md"", ""registers/songs/s75_ott_songs.md"", ""registers/songs/s75_ott_songs_part_02.md"", ""registers/songs/s75_ott_songs_part_03.md"", ""registers/songs/s75_ott_songs_part_04.md"", ""sources/ott_unknown_pleasures/README.md"", ""sources/ott_unknown_pleasures/source_part_01.md"", ""sources/ott_unknown_pleasures/source_part_02.md"", ""sources/ott_unknown_pleasures/source_part_03.md"", ""sources/ott_unknown_pleasures/source_part_04.md""]"
source,S76,exports/generated/sources.json,,S76,"S76 — Middles & Reade, Torn Apart, 2006",Mick Middles ; Lindsay Reade,Torn Apart: The Life of Ian Curtis,2006,614,229,195,101,"[""registers/chronology/s76_torn_apart_chronology_part_01.md"", ""registers/chronology/s76_torn_apart_chronology_part_02.md"", ""registers/chronology/s76_torn_apart_chronology_part_03.md"", ""registers/chronology/s76_torn_apart_chronology_part_04.md"", ""registers/chronology/s76_torn_apart_chronology_part_05.md"", ""registers/chronology/s76_torn_apart_chronology_part_06.md"", ""registers/chronology/s76_torn_apart_chronology_part_07.md"", ""registers/chronology/s76_torn_apart_chronology_part_08.md"", ""registers/chronology/s76_torn_apart_chronology_part_09.md"", ""registers/chronology/s76_torn_apart_chronology_part_10.md"", ""registers/chronology/s76_torn_apart_chronology_part_11.md"", ""registers/chronology/s76_torn_apart_chronology_part_12.md"", ""registers/chronology/s76_torn_apart_chronology_part_13.md"", ""registers/chronology/s76_torn_apart_chronology_part_14.md"", ""registers/chronology/s76_torn_apart_chronology_part_15.md"", ""registers/chronology/s76_torn_apart_chronology_part_16.md"", ""registers/chronology/s76_torn_apart_chronology_part_17.md"", ""registers/people/s76_torn_apart_people_part_01.md"", ""registers/people/s76_torn_apart_people_part_02.md"", ""registers/people/s76_torn_apart_people_part_03.md"", ""registers/people/s76_torn_apart_people_part_04.md"", ""registers/people/s76_torn_apart_people_part_05.md"", ""registers/people/s76_torn_apart_people_part_06.md"", ""registers/people/s76_torn_apart_people_part_07.md"", ""registers/people/s76_torn_apart_people_part_08.md"", ""registers/people/s76_torn_apart_people_part_09.md"", ""registers/people/s76_torn_apart_people_part_10.md"", ""registers/people/s76_torn_apart_people_part_11.md"", ""registers/people/s76_torn_apart_people_part_12.md"", ""registers/people/s76_torn_apart_people_part_13.md"", ""registers/people/s76_torn_apart_people_part_14.md"", ""registers/people/s76_torn_apart_people_part_15.md"", ""registers/people/s76_torn_apart_people_part_16.md"", ""registers/people/s76_torn_apart_people_part_17.md"", ""registers/quotes/s76_torn_apart_quotes_part_01.md"", ""registers/quotes/s76_torn_apart_quotes_part_02.md"", ""registers/quotes/s76_torn_apart_quotes_part_03.md"", ""registers/quotes/s76_torn_apart_quotes_part_04.md"", ""registers/quotes/s76_torn_apart_quotes_part_05.md"", ""registers/quotes/s76_torn_apart_quotes_part_06.md"", ""registers/quotes/s76_torn_apart_quotes_part_07.md"", ""registers/quotes/s76_torn_apart_quotes_part_08.md"", ""registers/quotes/s76_torn_apart_quotes_part_09.md"", ""registers/quotes/s76_torn_apart_quotes_part_10.md"", ""registers/quotes/s76_torn_apart_quotes_part_11.md"", ""registers/quotes/s76_torn_apart_quotes_part_12.md"", ""registers/quotes/s76_torn_apart_quotes_part_13.md"", ""registers/quotes/s76_torn_apart_quotes_part_14.md"", ""registers/quotes/s76_torn_apart_quotes_part_15.md"", ""registers/quotes/s76_torn_apart_quotes_part_16.md"", ""registers/quotes/s76_torn_apart_quotes_part_17.md"", ""registers/quotes/s76_torn_apart_quotes_part_18.md"", ""registers/songs/s76_torn_apart_songs_part_07.md"", ""registers/songs/s76_torn_apart_songs_part_08.md"", ""registers/songs/s76_torn_apart_songs_part_09.md"", ""registers/songs/s76_torn_apart_songs_part_10.md"", ""registers/songs/s76_torn_apart_songs_part_11.md"", ""registers/songs/s76_torn_apart_songs_part_12.md"", ""registers/songs/s76_torn_apart_songs_part_13.md"", ""registers/songs/s76_torn_apart_songs_part_14.md"", ""registers/songs/s76_torn_apart_songs_part_15.md"", ""registers/songs/s76_torn_apart_songs_part_16.md"", ""registers/songs/s76_torn_apart_songs_part_17.md"", ""sources/middles_reade_torn_apart/source_part_01.md"", ""sources/middles_reade_torn_apart/source_part_02.md"", ""sources/middles_reade_torn_apart/source_part_03.md"", ""sources/middles_reade_torn_apart/source_part_04.md"", ""sources/middles_reade_torn_apart/source_part_05.md"", ""sources/middles_reade_torn_apart/source_part_06.md"", ""sources/middles_reade_torn_apart/source_part_07.md"", ""sources/middles_reade_torn_apart/source_part_08.md"", ""sources/middles_reade_torn_apart/source_part_09.md"", ""sources/middles_reade_torn_apart/source_part_10.md"", ""sources/middles_reade_torn_apart/source_part_11.md"", ""sources/middles_reade_torn_apart/source_part_12.md"", ""sources/middles_reade_torn_apart/source_part_13.md"", ""sources/middles_reade_torn_apart/source_part_14.md"", ""sources/middles_reade_torn_apart/source_part_15.md"", ""sources/middles_reade_torn_apart/source_part_16.md"", ""sources/middles_reade_torn_apart/source_part_17.md""]"
