kind,id,file,heading,level,file,record_id,message
diagnostic,D0052,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A004,Field must be an object/dict: importance
diagnostic,D0053,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A005,Missing required field: auteur
diagnostic,D0054,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A005,Missing required field: titre
diagnostic,D0055,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A005,Missing required field: role_argumentatif
diagnostic,D0056,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A005,Missing required field: niveau_preuve
diagnostic,D0057,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A005,Missing required field: stabilite
diagnostic,D0058,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A005,Missing required field: risque_surinterpretation
diagnostic,D0059,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A005,Missing required field: liens_interchapitres
diagnostic,D0060,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A005,Missing required field: liens_citations
diagnostic,D0061,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A005,Missing required field: motifs
diagnostic,D0062,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A005,Missing required field: concepts_derives
diagnostic,D0063,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A005,Invalid value for fiabilite: haute
diagnostic,D0064,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A005,Invalid value for type_unite: analyse_rhetorique
diagnostic,D0065,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A005,Field must be an object/dict: importance
diagnostic,D0066,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A006,Missing required field: auteur
diagnostic,D0067,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A006,Missing required field: titre
diagnostic,D0068,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A006,Missing required field: role_argumentatif
diagnostic,D0069,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A006,Missing required field: niveau_preuve
diagnostic,D0070,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A006,Missing required field: stabilite
diagnostic,D0071,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A006,Missing required field: risque_surinterpretation
diagnostic,D0072,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A006,Missing required field: liens_interchapitres
diagnostic,D0073,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A006,Missing required field: liens_citations
diagnostic,D0074,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A006,Missing required field: motifs
diagnostic,D0075,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A006,Missing required field: concepts_derives
diagnostic,D0076,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A006,Invalid value for fiabilite: haute
diagnostic,D0077,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A006,Invalid value for type_unite: analyse_intertextuelle
diagnostic,D0078,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A006,Field must be an object/dict: importance
diagnostic,D0079,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A007,Missing required field: auteur
diagnostic,D0080,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A007,Missing required field: titre
diagnostic,D0081,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A007,Missing required field: role_argumentatif
diagnostic,D0082,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A007,Missing required field: niveau_preuve
diagnostic,D0083,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A007,Missing required field: stabilite
diagnostic,D0084,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A007,Missing required field: risque_surinterpretation
diagnostic,D0085,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A007,Missing required field: liens_interchapitres
diagnostic,D0086,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A007,Missing required field: liens_citations
diagnostic,D0087,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A007,Missing required field: motifs
diagnostic,D0088,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A007,Missing required field: concepts_derives
diagnostic,D0089,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A007,Invalid value for fiabilite: haute
diagnostic,D0090,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A007,Invalid value for type_unite: conclusion_analytique
diagnostic,D0091,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S80-A007,Field must be an object/dict: importance
diagnostic,D0092,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,R-S80-001,Unable to infer documentary kind
diagnostic,D0093,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,R-S80-002,Unable to infer documentary kind
diagnostic,D0094,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,R-S80-003,Unable to infer documentary kind
diagnostic,D0095,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,R-S80-004,Unable to infer documentary kind
diagnostic,D0096,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,R-S80-005,Unable to infer documentary kind
diagnostic,D0097,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,R-S80-006,Unable to infer documentary kind
diagnostic,D0098,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,R-S80-007,Unable to infer documentary kind
diagnostic,D0099,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,R-S62-001,Unable to infer documentary kind
diagnostic,D0100,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,R-S62-002,Unable to infer documentary kind
diagnostic,D0101,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,R-S62-003,Unable to infer documentary kind
diagnostic,D0102,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,R-S62-004,Unable to infer documentary kind
diagnostic,D0103,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,R-S62-005,Unable to infer documentary kind
diagnostic,D0104,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,R-S62-006,Unable to infer documentary kind
diagnostic,D0105,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A001,Missing required field: auteur
diagnostic,D0106,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A001,Missing required field: titre
diagnostic,D0107,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A001,Missing required field: role_argumentatif
diagnostic,D0108,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A001,Missing required field: niveau_preuve
diagnostic,D0109,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A001,Missing required field: stabilite
diagnostic,D0110,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A001,Missing required field: risque_surinterpretation
diagnostic,D0111,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A001,Missing required field: liens_interchapitres
diagnostic,D0112,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A001,Missing required field: liens_citations
diagnostic,D0113,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A001,Missing required field: motifs
diagnostic,D0114,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A001,Missing required field: concepts_derives
diagnostic,D0115,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A001,Invalid value for type_unite: declaration_methodologique
diagnostic,D0116,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A001,Field must be an object/dict: importance
diagnostic,D0117,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A002,Missing required field: auteur
diagnostic,D0118,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A002,Missing required field: titre
diagnostic,D0119,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A002,Missing required field: role_argumentatif
diagnostic,D0120,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A002,Missing required field: niveau_preuve
diagnostic,D0121,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A002,Missing required field: stabilite
diagnostic,D0122,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A002,Missing required field: risque_surinterpretation
diagnostic,D0123,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A002,Missing required field: liens_interchapitres
diagnostic,D0124,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A002,Missing required field: liens_citations
diagnostic,D0125,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A002,Missing required field: motifs
diagnostic,D0126,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A002,Missing required field: concepts_derives
diagnostic,D0127,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A002,Invalid value for fiabilite: forte_pour_cadrage_à_croiser_pour_exactitude
diagnostic,D0128,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A002,Invalid value for type_unite: synthese_factuelle
diagnostic,D0129,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A002,Field must be an object/dict: importance
diagnostic,D0130,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A003,Missing required field: auteur
diagnostic,D0131,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A003,Missing required field: titre
diagnostic,D0132,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A003,Missing required field: role_argumentatif
diagnostic,D0133,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A003,Missing required field: niveau_preuve
diagnostic,D0134,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A003,Missing required field: stabilite
diagnostic,D0135,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A003,Missing required field: risque_surinterpretation
diagnostic,D0136,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A003,Missing required field: liens_interchapitres
diagnostic,D0137,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A003,Missing required field: liens_citations
diagnostic,D0138,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A003,Missing required field: motifs
diagnostic,D0139,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A003,Missing required field: concepts_derives
diagnostic,D0140,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A003,Invalid value for fiabilite: forte_à_croiser_avec_sources_primaires
diagnostic,D0141,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A003,Invalid value for type_unite: fait_evenementiel
diagnostic,D0142,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A003,Field must be an object/dict: importance
diagnostic,D0143,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A004,Missing required field: auteur
diagnostic,D0144,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A004,Missing required field: titre
diagnostic,D0145,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A004,Missing required field: role_argumentatif
diagnostic,D0146,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A004,Missing required field: niveau_preuve
diagnostic,D0147,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A004,Missing required field: stabilite
diagnostic,D0148,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A004,Missing required field: risque_surinterpretation
diagnostic,D0149,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A004,Missing required field: liens_interchapitres
diagnostic,D0150,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A004,Missing required field: liens_citations
diagnostic,D0151,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A004,Missing required field: motifs
diagnostic,D0152,exports/generated/diagnostics.json,,warning,exports/generated/diagnostics.json,S62-A004,Missing required field: concepts_derives
